id,category,qty
CAPPUCCINO,BEVERAGE,7144
MINERAL WATER(1000ML),BEVERAGE,3633
MASALA CHAI CUTTING,BEVERAGE,2993
MOROCCAN MINT TEA,BEVERAGE,2812
LEMON ICED TEA,BEVERAGE,2687
CAFFE LATTE,BEVERAGE,2523
N R G HOOKAH,BEVERAGE,15
RED BULL ENERGY DRINK,BEVERAGE,2266
BERRY BLAST,BEVERAGE,2216
COUNTRY LEMONADE,BEVERAGE,2017
PINK LEMONADE,BEVERAGE,1554
MIAMI MELONS,BEVERAGE,1427
RED BULL 2+1,BEVERAGE,1224
ULTIMATE HOT CHOCOLATE,BEVERAGE,1211
THE CHOCO LATTE,BEVERAGE,999
MINERAL WATER(500ML),BEVERAGE,967
COOL CALIFORNICA,BEVERAGE,921
TROPICAL SMOOTHIE,BEVERAGE,660
BLUEBERRY BRAIN FREEZER SHAKE,BEVERAGE,622
ESPRESSO,BEVERAGE,613
DOPPIO,BEVERAGE,610
CURRANT COOLER,BEVERAGE,494
STRAWBERRY ICED TEA,BEVERAGE,460
CHAI LATTE,BEVERAGE,433
BLACK CURRANT ICED TEA,BEVERAGE,427
GRENADINE,BEVERAGE,422
MONSOON MALABAR (REG),BEVERAGE,421
IRISH COFFEE,BEVERAGE,393
OCEAN SPECIAL FLOATS W CHOC,BEVERAGE,376
THE AFTER EIGHT SHAKE,BEVERAGE,337
OCEAN SPECIAL FLOAT W VANILLA,BEVERAGE,327
LINDT HOT CHOCOLATE,BEVERAGE,299
3 RED BULL,BEVERAGE,270
JAMAICAN BLUE MT (REG),BEVERAGE,261
MONSOON MALABAR (AULAIT),BEVERAGE,237
ADD HAZELNUT FLAVOUR,BEVERAGE,234
STRAWBERRY LITE SHAKE,BEVERAGE,221
EARL GREY,BEVERAGE,214
APPLE PEAR N LIME,BEVERAGE,193
COSTARICA TARRAZU (REG),BEVERAGE,191
COOKIE CRUMBLE,BEVERAGE,190
KENYA AA (REG),BEVERAGE,190
COLUMBIAN SUPREMO (REG),BEVERAGE,189
FRUIT FROM THE TROPICS,BEVERAGE,179
BAHUT BERRY,BEVERAGE,173
GREEN TEA,BEVERAGE,168
APPLE CARROT N GINGER JUICE,BEVERAGE,162
BRAZIL BOURBONSANTOS (REG),BEVERAGE,156
INDIAN PEABERRY (REG),BEVERAGE,147
MIXED FLAVOUR SINGLE,BEVERAGE,1
CHAMOMILE TEA,BEVERAGE,135
JAMAICAN BLUE MT (AU LAIT),BEVERAGE,125
OCEAN SPECIAL-JAVA BLEND (REG),BEVERAGE,120
M & M SHAKE,BEVERAGE,115
BRAZIL BOURBONSANTOS (AULAIT),BEVERAGE,110
ICED LEMON OR STR CAMOMILE,BEVERAGE,109
OCEAN SPECIAL FRAPPE,BEVERAGE,106
RED BULL 3+2,BEVERAGE,104
COSTARICA TARAZU (AULAIT),BEVERAGE,97
ENG BREAKFAST TEA,BEVERAGE,92
ETHIOPIAN YIRGACHEFFE (REG),BEVERAGE,96
SUMATRA MANDHELING (REG),BEVERAGE,94
VANILLA LITE SHAKE,BEVERAGE,90
CAPPUCCINO GRANDE,BEVERAGE,87
